id,verite_label,ground_truth,predicted,correct,confidence,entity_score,temporal_score,credibility_score,final_score,claim,time_sec,source
345,true,PRISTINE,OUT-OF-CONTEXT,NO,71,0.5,0.5,0.5,0.5,"A photograph shows 'Osman the Pelican' that befriended a stray on in Erdek, Turkey, circa 2007.",65.6,VERITE
348,true,PRISTINE,PRISTINE,YES,65,0.5,0.5,0.5,0.5,A photograph shows Migrant Cubans using mobile phones inside the migrant shelter 'Casa del Migrante' in Mexico. They onl,64.0,VERITE
351,true,PRISTINE,OUT-OF-CONTEXT,NO,85,0.5,0.5,0.5,0.5,A photograph shows personnel of the U.S. Customs and Border Protection who have been injured from being struck in the fa,66.3,VERITE
354,true,PRISTINE,OUT-OF-CONTEXT,NO,65,0.5,0.5,0.5,0.5,A photograph shows dozens of guitars that were damaged during Typhoon Mangkhut in the Guangdong province of southern Chi,97.9,VERITE
360,true,PRISTINE,OUT-OF-CONTEXT,NO,72,0.5,0.5,0.5,0.5,"A photograph shows a man in a polar bear costume being arrested during Flood Wall Street, an environmental protest stage",52.8,VERITE
26,out-of-context,OUT-OF-CONTEXT,OUT-OF-CONTEXT,YES,65,0.5,0.5,0.5,0.5,"A photograph shows a sign that reads 'whites only within city limits after dark', taken from 2018 movie Green Book.",70.2,VERITE
41,out-of-context,OUT-OF-CONTEXT,OUT-OF-CONTEXT,YES,90,0.5,0.5,0.5,0.5,A image taken from the movie 'The Search' shows Russian soldiers before they start killing Chechnyans at the start of th,70.4,VERITE
43,miscaptioned,OUT-OF-CONTEXT,OUT-OF-CONTEXT,YES,89,0.5,0.5,0.5,0.5,News report on the death toll from Russia's invasion of Ukraine showed a dead person in a body bag moving.,59.3,VERITE
50,out-of-context,OUT-OF-CONTEXT,OUT-OF-CONTEXT,YES,65,0.5,0.5,0.5,0.5,Picture of China launching a space rocket in December 2019.,63.5,VERITE
363,true,PRISTINE,PRISTINE,YES,70,0.5,0.5,0.5,0.5,"A photograph shows morning commuters driving in San Diego during the Skirball fire near Bel-Air, California, in December",52.2,VERITE
372,true,PRISTINE,PRISTINE,YES,58,0.5,0.5,0.5,0.5,A photograph shows a protester standing on a U.S. flag. at the University of Wisconsin-Milwaukee before the campaign app,23.8,VERITE
381,true,PRISTINE,PRISTINE,YES,80,0.5,0.5,0.5,0.5,"A photograph shows protestors dragging a police officer in Acapulco, Mexico in November 2014.",34.7,VERITE
169,miscaptioned,OUT-OF-CONTEXT,OUT-OF-CONTEXT,YES,80,0.5,0.5,0.5,0.5,Image shows U.S. Senator Tom Cotton of Arkansas sitting on a pile of gold during his time in the military.,34.2,VERITE
170,out-of-context,OUT-OF-CONTEXT,OUT-OF-CONTEXT,YES,78,0.5,0.5,0.5,0.5,"Image shows a member of the 173rd Airborne Brigade sitting on a pile of gold, after nearly 1,000 gold bars were confisca",33.4,VERITE
172,miscaptioned,OUT-OF-CONTEXT,OUT-OF-CONTEXT,YES,90,0.5,0.5,0.5,0.5,Image shows members of the NYPD wearing 'I Can Breathe' shirts mocking the death of George Floyd.,32.3,VERITE
166,miscaptioned,OUT-OF-CONTEXT,OUT-OF-CONTEXT,YES,65,0.5,0.5,0.5,0.5,Image shows former U.S. President Barack Obama and first lady Michelle Obama marching with protesters against racial inj,75.1,VERITE
167,out-of-context,OUT-OF-CONTEXT,OUT-OF-CONTEXT,YES,65,0.5,0.5,0.5,0.5,Image shows former U.S. President Barack Obama and first lady Michelle Obama joined thousands of Americans to mark the 5,73.3,VERITE
16,miscaptioned,OUT-OF-CONTEXT,OUT-OF-CONTEXT,YES,85,0.5,0.5,0.5,0.5,Image shows campers sleeping in hammocks suspended high above ground in an activity known as sky camping.,39.6,VERITE
20,out-of-context,OUT-OF-CONTEXT,OUT-OF-CONTEXT,YES,92,0.5,0.5,0.5,0.5,Image shows grounds covered with garbage after the end of Glastonbury Music Festival in 2015.,124.9,VERITE
58,miscaptioned,OUT-OF-CONTEXT,OUT-OF-CONTEXT,YES,73,0.5,0.5,0.5,0.5,"Image shows a 'boneyard' of electric vehicles, abandoned because their battery storage cells gave out.",37.8,VERITE
384,true,PRISTINE,PRISTINE,YES,65,0.5,0.5,0.5,0.5,A photograph shows a family of Honduran caravan members resting in front of a tent provided by the Red Cross Societies o,70.5,VERITE
396,true,PRISTINE,PRISTINE,YES,75,0.5,0.5,0.5,0.5,A photograph shows the parade held in honor of the Cleveland Cavaliers' winning the NBA Championship in 2016.,64.3,VERITE
175,miscaptioned,OUT-OF-CONTEXT,OUT-OF-CONTEXT,YES,76,0.5,0.5,0.5,0.5,Photograph shows police officers attempting to arrest a black FBI agent during the George Floyd protests in 2020.,64.4,VERITE
176,out-of-context,OUT-OF-CONTEXT,OUT-OF-CONTEXT,YES,68,0.5,0.5,0.5,0.5,"Photograph shows police officers arrest a black male in Rochester, Minnesota in 2019.",63.9,VERITE
178,miscaptioned,OUT-OF-CONTEXT,OUT-OF-CONTEXT,YES,78,0.5,0.5,0.5,0.5,"Image of Ricky Ellsworth, a white woman, was killed by a black police officer in Minnesota in 2020.",65.7,VERITE
179,out-of-context,OUT-OF-CONTEXT,OUT-OF-CONTEXT,YES,87,0.5,0.5,0.5,0.5,"Image of Justine Damond, a white woman, was killed by a police officer named Mohamed Noor in Minneapolis in 2017.",70.6,VERITE
181,miscaptioned,OUT-OF-CONTEXT,OUT-OF-CONTEXT,YES,65,0.5,0.5,0.5,0.5,Photograph shows McDonald's set afire during protests over George Floyd's death.,64.0,VERITE
184,miscaptioned,OUT-OF-CONTEXT,OUT-OF-CONTEXT,YES,85,0.5,0.5,0.5,0.5,Photograph shows former Minneapolis police officer Derek Chauvin wearing a 'Make Whites Great Again' hat.,62.9,VERITE
185,out-of-context,OUT-OF-CONTEXT,OUT-OF-CONTEXT,YES,82,0.5,0.5,0.5,0.5,"Photograph shows Jonathan Riches, a supporter of U.S. President Donald Trump who is also a former federal inmate, wearin",63.2,VERITE
188,out-of-context,OUT-OF-CONTEXT,OUT-OF-CONTEXT,YES,65,0.5,0.5,0.5,0.5,Image shows Brian Cash at a protest against lockdown orders implemented in Michigan as a result of the COVID-19 coronavi,64.1,VERITE
190,miscaptioned,OUT-OF-CONTEXT,OUT-OF-CONTEXT,YES,68,0.5,0.5,0.5,0.5,Photograph shows swastika flag bearing the names of Trump and Pence displayed at the Operation Gridlock protest in Michi,62.7,VERITE
402,true,PRISTINE,PRISTINE,YES,78,0.5,0.5,0.5,0.5,"Image shows members of a migrant caravan in Guatemala who were given some money to help them get by, en route to the Uni",56.8,VERITE
405,true,PRISTINE,PRISTINE,YES,65,0.5,0.5,0.5,0.5,A photograph shows a storm approaching Pensacola Beach in July 2018.,44.6,VERITE
408,true,PRISTINE,PRISTINE,YES,66,0.5,0.5,0.5,0.5,A digitally created image by the artist Nickolay Lamm shoes a flooded runway to illustrate the effect that unchecked cli,47.0,VERITE
411,true,PRISTINE,PRISTINE,YES,63,0.5,0.5,0.5,0.5,"A group of bikers in Boulevard Peripherique in Paris, France in 2016.",45.6,VERITE
414,true,PRISTINE,PRISTINE,YES,62,0.5,0.5,0.5,0.5,A small parade by member of the LGBT community on the day before New York City's official annual gay pride parade in 201,48.8,VERITE
182,out-of-context,OUT-OF-CONTEXT,OUT-OF-CONTEXT,YES,65,0.5,0.5,0.5,0.5,"Photograph shows McDonald's burning in November 2016 after a grease fire started in Lebanon, Pennsylvania.",49.2,VERITE
90,true,PRISTINE,PRISTINE,YES,72,0.5,0.5,0.5,0.5,Image shows former child star Amanda Bynes wearing a willie product support t-shirt.,26.0,VERITE
93,true,PRISTINE,PRISTINE,YES,66,0.5,0.5,0.5,0.5,Photograph shows historical artifacts from the White House being returned to museums and galleries at the end of the pre,34.3,VERITE
96,true,PRISTINE,PRISTINE,YES,65,0.5,0.5,0.5,0.5,"Image of a cross being erected by rioters in Michigan Jan. 6, 2020, during a protest against the 2020 election results.",48.4,VERITE
99,true,PRISTINE,PRISTINE,YES,86,0.5,0.5,0.5,0.5,Photograph of a triceratops model being unloaded from a truck at the Mojosemi Forest Park in Indonesia.,46.2,VERITE
399,true,PRISTINE,PRISTINE,YES,65,0.5,0.5,0.5,0.5,Photograph shows an injured police officer after altercations between police officers and protesters in Mexico in Octobe,48.9,VERITE
33,true,PRISTINE,OUT-OF-CONTEXT,NO,80,0.5,0.5,0.5,0.5,Image shows an art installation of a giant snake by the Chinese artist Huang Yong Ping is exhibited on a beach in France,26.7,VERITE
48,true,PRISTINE,PRISTINE,YES,60,0.5,0.5,0.5,0.5,Picture of China launching a space rocket in December 2019.,12.8,VERITE
69,true,PRISTINE,OUT-OF-CONTEXT,NO,65,0.5,0.5,0.5,0.5,"Photograph of Prince Philip wearing the ceremonial dress, preparing to escort Queen Elizabeth to the ceremony of the Gre",17.9,VERITE
108,true,PRISTINE,OUT-OF-CONTEXT,NO,65,0.5,0.5,0.5,0.5,"A selfie of Paris Hilton and Britney Spears, taken in 2006.",80.4,VERITE
375,true,PRISTINE,PRISTINE,YES,60,0.5,0.5,0.5,0.5,A photograph shows an Immigrant at the 'Customs and Border Protection' facility in South Texas with a case of scabies on,11.8,VERITE
378,true,PRISTINE,PRISTINE,YES,60,0.5,0.5,0.5,0.5,Image from surveillance video shows a group of plain clothed police officers shooting an armed robber in a pharmacy in B,13.8,VERITE
387,true,PRISTINE,PRISTINE,YES,60,0.5,0.5,0.5,0.5,A photograph shows trash that was left behind by a caravan of refugees near the Austria-Germany border in September 2015,11.9,VERITE
393,true,PRISTINE,PRISTINE,YES,60,0.5,0.5,0.5,0.5,"Photograph shows protestor burning a Trump flag during an anti-Trump riot in Albuquerque, New Mexico, in May 2016.",11.8,VERITE
11,out-of-context,OUT-OF-CONTEXT,PRISTINE,NO,62,0.5,0.5,0.5,0.5,A sketchfab 3D rendering of the actor Andre the Giant.,19.8,VERITE
189,true,PRISTINE,OUT-OF-CONTEXT,NO,70,0.5,0.5,0.5,0.5,"Photograph shows swastika flag bearing the names of Trump and Pence displayed at a Bernie Sanders rally, in Boise, Idaho",21.3,VERITE
222,true,PRISTINE,PRISTINE,YES,70,0.5,0.5,0.5,0.5,A 3D visualization showing all the areas which have been affected by fires in Australia in 2020.,15.9,VERITE
243,true,PRISTINE,PRISTINE,YES,62,0.5,0.5,0.5,0.5,Image shows a face projector that enables to change ones face within seconds that is an Art project created by students ,24.1,VERITE
68,out-of-context,OUT-OF-CONTEXT,PRISTINE,NO,60,0.5,0.5,0.5,0.5,"Photograph of U.S. presidential candidate Joe Biden kneeling to speak with a young boy in Detroit, Michigan, in Septembe",24.7,VERITE
70,miscaptioned,OUT-OF-CONTEXT,PRISTINE,NO,62,0.5,0.5,0.5,0.5,Photograph of Queen Elizabeth laughing after Prince Philip pranked her by disguising himself as a palace guard.,28.1,VERITE
73,miscaptioned,OUT-OF-CONTEXT,PRISTINE,NO,62,0.5,0.5,0.5,0.5,Photograph of U.S. Senator Lindsey Graham with far-right politician Geert Wilders in March 2021.,22.1,VERITE
417,true,PRISTINE,PRISTINE,YES,64,0.5,0.5,0.5,0.5,A photographs shows a mining lift crammed full of Italian workers who were channel into the Belgian labor market in ealy,21.1,VERITE
420,true,PRISTINE,PRISTINE,YES,64,0.5,0.5,0.5,0.5,A woman holding a 'Not My President' sign in a protest against president Donald Trump in New York City on 12 November 20,11.6,VERITE
423,true,PRISTINE,PRISTINE,YES,62,0.5,0.5,0.5,0.5,Photographs show a group of pigs on a flooded farm after Hurricane Floyd in September 1999.,20.9,VERITE
426,true,PRISTINE,PRISTINE,YES,60,0.5,0.5,0.5,0.5,Photographs document CNN's Anderson Cooper shows the variations of depths in the water after Hurricane Ike in September ,11.8,VERITE
429,true,PRISTINE,PRISTINE,YES,62,0.5,0.5,0.5,0.5,Artist Kelsey Amy created a pair of custom Nike Monarchs that were hand-painted to look like as if they had been burned.,18.5,VERITE
191,out-of-context,OUT-OF-CONTEXT,OUT-OF-CONTEXT,YES,70,0.5,0.5,0.5,0.5,"Photograph shows swastika flag bearing the names of Trump and Pence displayed at a Bernie Sanders rally, in Boise, Idaho",22.6,VERITE
193,miscaptioned,OUT-OF-CONTEXT,OUT-OF-CONTEXT,YES,65,0.5,0.5,0.5,0.5,Image shows a fully naked 'Filipino looking child is using bedsheets to escape from an upper story of Buckingham Palace.,23.6,VERITE
197,out-of-context,OUT-OF-CONTEXT,OUT-OF-CONTEXT,YES,80,0.5,0.5,0.5,0.5,U.S. President Donald Trump said 'I don't care how sick you are. [...] Get out and vote' during a campaign event in Nove,77.6,VERITE
199,miscaptioned,OUT-OF-CONTEXT,OUT-OF-CONTEXT,YES,60,0.5,0.5,0.5,0.5,Image from video taken during the COVID-19 pandemic showing a member of the Maasai tribe - employed by the Kenyan govern,12.8,VERITE
432,true,PRISTINE,PRISTINE,YES,65,0.5,0.5,0.5,0.5,A photograph shows police officers escorting a group of convicts at a sentencing rally in China in 2004.,25.1,VERITE
435,true,PRISTINE,PRISTINE,YES,60,0.5,0.5,0.5,0.5,A composite photograph documenting the evolution of a single tornado in Kansas in 2016.,10.8,VERITE
441,true,PRISTINE,PRISTINE,YES,60,0.5,0.5,0.5,0.5,"Image from a video shows students vandalising the cafeteria at Tshwane University of Technology in Pretoria, South Afric",12.5,VERITE
444,true,PRISTINE,PRISTINE,YES,62,0.5,0.5,0.5,0.5,An image shows a group of antifa protesters beating a right-wing activist in Berkeley during an alt-right rally in Augus,13.6,VERITE
447,true,PRISTINE,PRISTINE,YES,60,0.5,0.5,0.5,0.5,"Α photograph taken in 2009 during a Tea Party protest in West Palm Beach, Florida, in which parents brought their kids f",26.8,VERITE
205,miscaptioned,OUT-OF-CONTEXT,OUT-OF-CONTEXT,YES,70,0.5,0.5,0.5,0.5,Photograph shows people in China tearing down a 5G tower in an attempt to stop the spread of COVID-19 coronavirus diseas,24.5,VERITE
206,out-of-context,OUT-OF-CONTEXT,OUT-OF-CONTEXT,YES,80,0.5,0.5,0.5,0.5,Photograph shows anti-surveillance protesters tearing down a 'smart' lamppost in Hong Kong in August 2019.,25.1,VERITE
74,out-of-context,OUT-OF-CONTEXT,OUT-OF-CONTEXT,YES,68,0.5,0.5,0.5,0.5,"Photograph of U.S. Senator Lindsey Graham with far-right politician Geert Wilders at the Ambrosetti Forum, an annual int",32.5,VERITE
196,miscaptioned,OUT-OF-CONTEXT,OUT-OF-CONTEXT,YES,82,0.5,0.5,0.5,0.5,U.S. President Donald Trump said 'I don't care how sick you are. [...] Get out and vote' during the COVID-19 coronavirus,55.5,VERITE
202,miscaptioned,OUT-OF-CONTEXT,OUT-OF-CONTEXT,YES,72,0.5,0.5,0.5,0.5,Photograph shows a soldier carrying a donkey on his back during World War II to prevent the animal from inadvertently se,46.4,VERITE
203,out-of-context,OUT-OF-CONTEXT,PRISTINE,NO,78,0.5,0.5,0.5,0.5,Photograph shows a soldier rescuing a starving donkey during the Algerian War in 1958 by carrying it on his back.,40.6,VERITE
208,miscaptioned,OUT-OF-CONTEXT,OUT-OF-CONTEXT,YES,47,0.5,0.5,0.5,0.5,Air Force One during U.S. President Donald Trump's visit to the Daytona 500 in February 2020.,41.0,VERITE
